team_id,player_id,court_location,of_def_flag,count
1610612737,2594,2.0,def,14592.0
1610612737,2594,2.0,of,15093.0
1610612737,2594,3.0,def,6447.0
1610612737,2594,3.0,of,6215.0
1610612737,2594,4.0,def,5383.0
1610612737,2594,4.0,of,5203.0
1610612737,2594,6.0,def,15093.0
1610612737,2594,6.0,of,14681.0
1610612737,2594,7.0,def,6681.0
1610612737,2594,7.0,of,6794.0
1610612737,2594,8.0,def,9452.0
1610612737,2594,8.0,of,8982.0
1610612737,2594,9.0,def,14052.0
1610612737,2594,9.0,of,14661.0
1610612737,2594,10.0,def,6884.0
1610612737,2594,10.0,of,6736.0
1610612737,2594,11.0,def,6546.0
1610612737,2594,11.0,of,7195.0
1610612737,2594,12.0,def,18851.0
1610612737,2594,12.0,of,19555.0
1610612737,2594,15.0,def,8744.0
1610612737,2594,15.0,of,8796.0
1610612737,2594,16.0,def,19831.0
1610612737,2594,16.0,of,19102.0
1610612737,2594,19.0,def,8986.0
1610612737,2594,19.0,of,8050.0
1610612737,2594,20.0,def,28986.0
1610612737,2594,20.0,of,27718.0
1610612737,200757,2.0,def,10404.0
1610612737,200757,2.0,of,12093.0
1610612737,200757,3.0,def,4911.0
1610612737,200757,3.0,of,5179.0
1610612737,200757,4.0,def,5835.0
1610612737,200757,4.0,of,5349.0
1610612737,200757,6.0,def,8858.0
1610612737,200757,6.0,of,9619.0
1610612737,200757,7.0,def,4339.0
1610612737,200757,7.0,of,4540.0
1610612737,200757,8.0,def,5142.0
1610612737,200757,8.0,of,5176.0
1610612737,200757,9.0,def,11013.0
1610612737,200757,9.0,of,11105.0
1610612737,200757,10.0,def,6167.0
1610612737,200757,10.0,of,6681.0
1610612737,200757,11.0,def,5998.0
1610612737,200757,11.0,of,5435.0
1610612737,200757,12.0,def,13676.0
1610612737,200757,12.0,of,13596.0
1610612737,200757,15.0,def,7260.0
1610612737,200757,15.0,of,7354.0
1610612737,200757,16.0,def,15277.0
1610612737,200757,16.0,of,16433.0
1610612737,200757,19.0,def,6754.0
1610612737,200757,19.0,of,6825.0
1610612737,200757,20.0,def,14564.0
1610612737,200757,20.0,of,15882.0
1610612737,200794,2.0,def,16828.0
1610612737,200794,2.0,of,18625.0
1610612737,200794,3.0,def,3846.0
1610612737,200794,3.0,of,4720.0
1610612737,200794,4.0,def,1206.0
1610612737,200794,4.0,of,1845.0
1610612737,200794,6.0,def,15925.0
1610612737,200794,6.0,of,17498.0
1610612737,200794,7.0,def,3260.0
1610612737,200794,7.0,of,3684.0
1610612737,200794,8.0,def,1212.0
1610612737,200794,8.0,of,971.0
1610612737,200794,9.0,def,35476.0
1610612737,200794,9.0,of,36811.0
1610612737,200794,10.0,def,18828.0
1610612737,200794,10.0,of,19613.0
1610612737,200794,11.0,def,17284.0
1610612737,200794,11.0,of,18989.0
1610612737,200794,12.0,def,36747.0
1610612737,200794,12.0,of,37263.0
1610612737,200794,15.0,def,9887.0
1610612737,200794,15.0,of,10712.0
1610612737,200794,16.0,def,7867.0
1610612737,200794,16.0,of,8498.0
1610612737,200794,19.0,def,8269.0
1610612737,200794,19.0,of,8685.0
1610612737,200794,20.0,def,7671.0
1610612737,200794,20.0,of,7761.0
1610612737,201143,2.0,def,19334.0
1610612737,201143,2.0,of,18251.0
1610612737,201143,3.0,def,3431.0
1610612737,201143,3.0,of,3670.0
1610612737,201143,4.0,def,1588.0
1610612737,201143,4.0,of,1727.0
1610612737,201143,6.0,def,15470.0
1610612737,201143,6.0,of,14732.0
1610612737,201143,7.0,def,2011.0
1610612737,201143,7.0,of,2052.0
1610612737,201143,8.0,def,969.0
1610612737,201143,8.0,of,947.0
1610612737,201143,9.0,def,35479.0
1610612737,201143,9.0,of,33694.0
1610612737,201143,10.0,def,27455.0
1610612737,201143,10.0,of,26424.0
1610612737,201143,11.0,def,19429.0
1610612737,201143,11.0,of,18573.0
1610612737,201143,12.0,def,34359.0
1610612737,201143,12.0,of,33009.0
1610612737,201143,15.0,def,7800.0
1610612737,201143,15.0,of,7887.0
1610612737,201143,16.0,def,4673.0
1610612737,201143,16.0,of,4919.0
1610612737,201143,19.0,def,7523.0
1610612737,201143,19.0,of,7968.0
1610612737,201143,20.0,def,4620.0
1610612737,201143,20.0,of,4562.0
1610612737,201168,2.0,def,6559.0
1610612737,201168,2.0,of,7515.0
1610612737,201168,3.0,def,807.0
1610612737,201168,3.0,of,650.0
1610612737,201168,4.0,def,36.0
1610612737,201168,4.0,of,35.0
1610612737,201168,6.0,def,8777.0
1610612737,201168,6.0,of,9846.0
1610612737,201168,7.0,def,660.0
1610612737,201168,7.0,of,498.0
1610612737,201168,8.0,def,48.0
1610612737,201168,8.0,of,61.0
1610612737,201168,9.0,def,14329.0
1610612737,201168,9.0,of,17140.0
1610612737,201168,10.0,def,9142.0
1610612737,201168,10.0,of,10700.0
1610612737,201168,11.0,def,6680.0
1610612737,201168,11.0,of,7321.0
1610612737,201168,12.0,def,10747.0
1610612737,201168,12.0,of,12960.0
