player_id,team_id,of_def_flag,"Right Side(R), 8-16 ft.","Right Side(R), 16-24 ft.","Right Side(R), 24+ ft.","Left Side(L), 8-16 ft.","Left Side(L), 16-24 ft.","Left Side(L), 24+ ft.","Center(C), Less Than 8 ft.","Center(C), 8-16 ft.","Center(C), 16-24 ft.","Center(C), 24+ ft.","Right Side Center(RC), 16-24 ft.","Right Side Center(RC), 24+ ft.","Left Side Center(LC), 16-24 ft.","Left Side Center(LC), 24+ ft."
Darren Collison,Sacramento Kings,def,8642.0,32308.0,7362.0,8173.0,8373.0,18144.0,4661.0,3259.0,8470.0,9277.0,16804.0,5339.0,2796.0,8619.0
Darren Collison,Sacramento Kings,of,8268.0,31747.0,6947.0,8345.0,9692.0,19861.0,5079.0,3571.0,9137.0,8930.0,16551.0,5118.0,2716.0,8817.0
Darrun Hilliard,Detroit Pistons,def,384.0,1418.0,327.0,566.0,784.0,1488.0,583.0,601.0,599.0,591.0,1275.0,572.0,367.0,744.0
Darrun Hilliard,Detroit Pistons,of,733.0,1226.0,433.0,674.0,870.0,1751.0,570.0,1085.0,766.0,639.0,1310.0,607.0,411.0,1194.0
David West,San Antonio Spurs,def,11119.0,16394.0,12089.0,17126.0,3983.0,1434.0,989.0,171.0,10213.0,4147.0,1448.0,1050.0,91.0,9038.0
David West,San Antonio Spurs,of,11203.0,15224.0,14184.0,18726.0,3889.0,1523.0,849.0,131.0,11203.0,3884.0,1500.0,679.0,336.0,7678.0
DeAndre Jordan,Los Angeles Clippers,def,18523.0,33010.0,24468.0,47492.0,6839.0,3928.0,1038.0,75.0,13013.0,8448.0,4048.0,1730.0,134.0,17439.0
DeAndre Jordan,Los Angeles Clippers,of,18027.0,32919.0,25153.0,47173.0,6686.0,4331.0,1519.0,75.0,13785.0,8188.0,3874.0,1351.0,31.0,15652.0
DeMar DeRozan,Toronto Raptors,def,10222.0,26566.0,9678.0,15376.0,12174.0,29243.0,7642.0,7590.0,20686.0,13007.0,23531.0,6141.0,4475.0,21841.0
DeMar DeRozan,Toronto Raptors,of,9801.0,25962.0,8970.0,16806.0,12238.0,28820.0,7921.0,7186.0,21758.0,12937.0,23466.0,5793.0,4404.0,21335.0
DeMarcus Cousins,Sacramento Kings,def,15466.0,26985.0,22216.0,33395.0,7661.0,8498.0,2215.0,237.0,13570.0,5520.0,6011.0,932.0,223.0,9720.0
DeMarcus Cousins,Sacramento Kings,of,15823.0,28281.0,22608.0,34245.0,7478.0,9053.0,2067.0,216.0,13426.0,5647.0,5460.0,765.0,148.0,11138.0
DeMarre Carroll,Toronto Raptors,def,5260.0,11546.0,4462.0,9313.0,5120.0,13826.0,2703.0,2629.0,5757.0,6084.0,14032.0,3689.0,3552.0,8103.0
DeMarre Carroll,Toronto Raptors,of,4997.0,11763.0,5371.0,9751.0,5889.0,14682.0,2963.0,2216.0,7903.0,6465.0,15995.0,4451.0,4009.0,9106.0
Delon Wright,Toronto Raptors,def,143.0,510.0,142.0,57.0,161.0,494.0,112.0,63.0,182.0,116.0,246.0,77.0,123.0,124.0
Delon Wright,Toronto Raptors,of,296.0,812.0,247.0,447.0,233.0,764.0,69.0,203.0,457.0,200.0,812.0,139.0,133.0,247.0
Dennis Schroder,Atlanta Hawks,def,7004.0,27064.0,6463.0,8153.0,7267.0,16570.0,2699.0,856.0,8693.0,6757.0,14459.0,2983.0,818.0,7897.0
Dennis Schroder,Atlanta Hawks,of,6878.0,29837.0,6760.0,8524.0,7562.0,18409.0,3354.0,968.0,9193.0,6886.0,15921.0,2853.0,632.0,7889.0
Derrick Favors,Utah Jazz,def,16627.0,19146.0,13580.0,22405.0,5872.0,2329.0,1149.0,103.0,11889.0,5558.0,1641.0,668.0,152.0,10806.0
Derrick Favors,Utah Jazz,of,17755.0,22181.0,15925.0,24142.0,6224.0,2319.0,1371.0,171.0,14524.0,6083.0,1910.0,1052.0,84.0,11237.0
Derrick Rose,Chicago Bulls,def,7304.0,34114.0,6119.0,7801.0,9563.0,20256.0,4630.0,1680.0,9578.0,8294.0,16026.0,4492.0,1775.0,8698.0
Derrick Rose,Chicago Bulls,of,7828.0,35823.0,6637.0,8465.0,8173.0,22169.0,4681.0,1678.0,9621.0,7877.0,17458.0,3798.0,1602.0,7927.0
Devin Booker,Phoenix Suns,def,3821.0,11050.0,3896.0,6567.0,4853.0,13763.0,4408.0,4388.0,7239.0,4790.0,11809.0,3660.0,3360.0,7852.0
Devin Booker,Phoenix Suns,of,4127.0,11508.0,4116.0,6844.0,5233.0,13589.0,4789.0,4032.0,8079.0,5359.0,11712.0,3601.0,3473.0,8403.0
Devin Harris,Dallas Mavericks,def,4221.0,12174.0,3981.0,6996.0,5264.0,13961.0,3176.0,5324.0,8321.0,5268.0,12773.0,3082.0,5296.0,8847.0
Devin Harris,Dallas Mavericks,of,3935.0,12221.0,3863.0,5605.0,5490.0,14093.0,2949.0,5945.0,8014.0,5641.0,12325.0,2794.0,4614.0,8772.0
Dewayne Dedmon,Orlando Magic,def,4709.0,5771.0,5589.0,8296.0,1545.0,426.0,226.0,6.0,4274.0,1949.0,473.0,139.0,21.0,3648.0
Dewayne Dedmon,Orlando Magic,of,5465.0,6648.0,6840.0,9294.0,2139.0,685.0,367.0,37.0,4417.0,1924.0,380.0,252.0,14.0,3795.0
Dion Waiters,Oklahoma City Thunder,def,7033.0,22324.0,6799.0,11061.0,9654.0,22861.0,5491.0,8331.0,15401.0,10206.0,18490.0,6864.0,8138.0,16592.0
Dion Waiters,Oklahoma City Thunder,of,6151.0,20264.0,5561.0,10522.0,9131.0,20459.0,5314.0,8326.0,13751.0,8680.0,17619.0,5817.0,7173.0,13667.0
Dirk Nowitzki,Dallas Mavericks,def,16077.0,36202.0,16749.0,23920.0,8694.0,7615.0,2923.0,1560.0,12277.0,7639.0,5153.0,2597.0,520.0,12358.0
Dirk Nowitzki,Dallas Mavericks,of,16365.0,36128.0,16827.0,23779.0,8438.0,8724.0,3012.0,1274.0,11844.0,8240.0,5192.0,2177.0,419.0,12605.0
Doug McDermott,Chicago Bulls,def,3933.0,10081.0,3493.0,7620.0,4947.0,13606.0,4319.0,9793.0,9549.0,5760.0,12061.0,4067.0,8558.0,9598.0
Doug McDermott,Chicago Bulls,of,4064.0,10675.0,3205.0,7157.0,4684.0,14130.0,4296.0,8217.0,8143.0,5414.0,12951.0,4600.0,6985.0,10898.0
Draymond Green,Golden State Warriors,def,18635.0,44824.0,17562.0,34152.0,9593.0,11109.0,2552.0,874.0,17052.0,9153.0,8382.0,2259.0,603.0,15764.0
Draymond Green,Golden State Warriors,of,18702.0,45007.0,17540.0,34171.0,9243.0,11443.0,2144.0,1098.0,14900.0,9749.0,9820.0,2954.0,1071.0,17083.0
Dwight Howard,Houston Rockets,def,16325.0,26492.0,22320.0,39765.0,5546.0,1443.0,1127.0,138.0,15196.0,5016.0,1489.0,923.0,70.0,13981.0
Dwight Howard,Houston Rockets,of,16164.0,26456.0,20312.0,37966.0,5391.0,1577.0,1167.0,38.0,14759.0,4949.0,1394.0,1131.0,128.0,13643.0
Dwight Powell,Dallas Mavericks,def,11201.0,15559.0,11133.0,17607.0,5183.0,2761.0,2802.0,288.0,10863.0,5889.0,2402.0,1349.0,161.0,8279.0
Dwight Powell,Dallas Mavericks,of,12137.0,16556.0,11822.0,18348.0,4761.0,2676.0,2353.0,478.0,11291.0,5528.0,2479.0,1297.0,171.0,9230.0
Dwyane Wade,Miami Heat,def,7646.0,18262.0,6469.0,14557.0,8885.0,20355.0,5816.0,4532.0,14006.0,9593.0,16247.0,5467.0,3775.0,17003.0
Dwyane Wade,Miami Heat,of,8239.0,20850.0,7134.0,14521.0,10336.0,23692.0,6254.0,5482.0,14751.0,10499.0,17230.0,5758.0,3419.0,17447.0
E'Twaun Moore,Chicago Bulls,def,1979.0,6730.0,1440.0,2795.0,3019.0,8046.0,2204.0,2708.0,3116.0,2927.0,6632.0,2025.0,3358.0,3263.0
E'Twaun Moore,Chicago Bulls,of,2818.0,8396.0,2189.0,3370.0,3836.0,8653.0,2510.0,2912.0,4431.0,3543.0,7417.0,2496.0,3236.0,3408.0
Ed Davis,Portland Trail Blazers,def,12480.0,23350.0,22504.0,35113.0,6900.0,2707.0,689.0,15.0,12116.0,5771.0,1930.0,470.0,34.0,11815.0
Ed Davis,Portland Trail Blazers,of,11366.0,21844.0,20331.0,32805.0,6334.0,2555.0,567.0,47.0,11279.0,5645.0,1683.0,665.0,39.0,12274.0
Elfrid Payton,Orlando Magic,def,7752.0,29674.0,8924.0,11746.0,7471.0,19138.0,3857.0,2675.0,8748.0,7098.0,17624.0,3425.0,2123.0,9610.0
Elfrid Payton,Orlando Magic,of,8036.0,31759.0,8932.0,12182.0,8325.0,20462.0,3604.0,2515.0,9013.0,8004.0,18837.0,3805.0,2440.0,10262.0
Emmanuel Mudiay,Denver Nuggets,def,6801.0,23863.0,6114.0,8307.0,6890.0,14781.0,3619.0,1937.0,8376.0,6237.0,14622.0,3744.0,1932.0,7059.0
Emmanuel Mudiay,Denver Nuggets,of,6417.0,23361.0,6276.0,8791.0,6860.0,16211.0,4322.0,1869.0,9640.0,7844.0,15223.0,4576.0,2793.0,8171.0
Enes Kanter,Oklahoma City Thunder,def,15194.0,21945.0,19808.0,37133.0,3709.0,2266.0,1096.0,176.0,14806.0,4528.0,2619.0,588.0,289.0,10011.0
Enes Kanter,Oklahoma City Thunder,of,12565.0,19045.0,16178.0,32268.0,2905.0,1949.0,918.0,147.0,13482.0,3819.0,2134.0,682.0,258.0,9590.0
Eric Bledsoe,Phoenix Suns,def,7621.0,23668.0,7622.0,9591.0,7887.0,18321.0,2859.0,1479.0,8007.0,7367.0,16521.0,2849.0,1861.0,7953.0
Eric Bledsoe,Phoenix Suns,of,8210.0,28703.0,8618.0,11027.0,8125.0,19272.0,3523.0,1906.0,9803.0,8171.0,19841.0,3164.0,2204.0,8568.0
Eric Gordon,New Orleans Pelicans,def,8315.0,25548.0,6185.0,9623.0,10889.0,27233.0,6003.0,7134.0,13239.0,10683.0,25649.0,5540.0,7082.0,14803.0
Eric Gordon,New Orleans Pelicans,of,8608.0,25084.0,6471.0,11167.0,10955.0,26340.0,6042.0,7224.0,15281.0,10645.0,24842.0,5967.0,8787.0,13356.0
Eric Moreland,Sacramento Kings,def,516.0,835.0,705.0,1225.0,234.0,108.0,58.0,22.0,461.0,131.0,44.0,28.0,0.0,429.0
Eric Moreland,Sacramento Kings,of,73.0,136.0,102.0,111.0,32.0,12.0,4.0,0.0,42.0,86.0,12.0,0.0,0.0,32.0
Ersan Ilyasova,Detroit Pistons,def,13540.0,25359.0,13217.0,25031.0,8523.0,14103.0,3270.0,2031.0,11013.0,8489.0,9830.0,2858.0,1424.0,11960.0
Ersan Ilyasova,Detroit Pistons,of,14401.0,25924.0,14692.0,28149.0,8097.0,14712.0,3218.0,2353.0,12083.0,7566.0,10318.0,3853.0,1670.0,12481.0
Evan Fournier,Orlando Magic,def,7696.0,20808.0,7107.0,12345.0,10835.0,24248.0,6535.0,5036.0,15023.0,8650.0,24938.0,6188.0,5651.0,14439.0
Evan Fournier,Orlando Magic,of,7612.0,20320.0,6958.0,11696.0,9746.0,23718.0,6480.0,4547.0,14983.0,9593.0,24790.0,6821.0,6190.0,13373.0
Evan Turner,Boston Celtics,def,7642.0,24649.0,7639.0,12563.0,9124.0,18100.0,6312.0,5167.0,12515.0,9017.0,17861.0,5426.0,5927.0,12383.0
Evan Turner,Boston Celtics,of,8712.0,24521.0,8106.0,14537.0,9911.0,17330.0,6238.0,3612.0,13449.0,9304.0,18198.0,5954.0,5584.0,12919.0
Frank Kaminsky,Charlotte Hornets,def,10664.0,22337.0,10988.0,18840.0,6692.0,7367.0,1958.0,913.0,12112.0,5069.0,5984.0,1947.0,1021.0,10873.0
Frank Kaminsky,Charlotte Hornets,of,12611.0,24574.0,12222.0,20608.0,7330.0,8209.0,2359.0,1129.0,13562.0,6088.0,7169.0,2314.0,1219.0,11360.0
Garrett Temple,Washington Wizards,def,5525.0,14182.0,4725.0,8018.0,6996.0,17416.0,6355.0,5524.0,8642.0,7196.0,16254.0,5333.0,6352.0,7687.0
Garrett Temple,Washington Wizards,of,4986.0,14768.0,4667.0,8916.0,6770.0,17521.0,6657.0,6829.0,8936.0,6104.0,14736.0,5497.0,6528.0,8591.0
Gary Harris,Denver Nuggets,def,6410.0,17365.0,5727.0,9685.0,8948.0,23067.0,6958.0,12733.0,10957.0,9529.0,16428.0,6179.0,11036.0,12486.0
Gary Harris,Denver Nuggets,of,7036.0,18288.0,5804.0,9460.0,9256.0,20350.0,6301.0,13021.0,10937.0,9108.0,16958.0,6283.0,11460.0,10225.0
George Hill,Indiana Pacers,def,9420.0,35607.0,7237.0,11419.0,11753.0,22479.0,6342.0,4812.0,10261.0,10443.0,21087.0,5114.0,3945.0,9954.0
George Hill,Indiana Pacers,of,9260.0,34779.0,6802.0,10234.0,11324.0,23632.0,6081.0,5728.0,10776.0,10172.0,20193.0,5299.0,3698.0,9736.0
Gerald Green,Miami Heat,def,5436.0,13565.0,4994.0,9209.0,6589.0,19018.0,4925.0,7130.0,10777.0,7161.0,16423.0,5429.0,9318.0,11312.0
Gerald Green,Miami Heat,of,5998.0,12938.0,5315.0,9045.0,7547.0,18849.0,5514.0,7279.0,11204.0,7497.0,18477.0,5097.0,9556.0,11457.0
Giannis Antetokounmpo,Milwaukee Bucks,def,12154.0,27507.0,13118.0,26252.0,9995.0,14107.0,4507.0,4490.0,16422.0,10919.0,14728.0,5080.0,5653.0,17430.0
Giannis Antetokounmpo,Milwaukee Bucks,of,12262.0,26617.0,12138.0,24798.0,10826.0,13387.0,4836.0,4269.0,14806.0,10873.0,14759.0,4901.0,5718.0,17977.0
Glenn Robinson III,Indiana Pacers,def,1984.0,5502.0,2073.0,3923.0,2654.0,5958.0,3104.0,3189.0,3750.0,2479.0,5524.0,2431.0,3016.0,3978.0
Glenn Robinson III,Indiana Pacers,of,1513.0,4647.0,1801.0,3456.0,2138.0,4843.0,2109.0,2146.0,3245.0,2578.0,4926.0,2479.0,2448.0,4050.0
Goran Dragic,Miami Heat,def,10067.0,38080.0,7647.0,10026.0,9609.0,17092.0,4428.0,3381.0,11426.0,8877.0,16513.0,3820.0,2218.0,9424.0
Goran Dragic,Miami Heat,of,10280.0,41911.0,7829.0,10677.0,10315.0,18291.0,5199.0,4510.0,12240.0,9954.0,18015.0,3781.0,2554.0,10629.0
Gordon Hayward,Utah Jazz,def,9669.0,24891.0,8520.0,15061.0,12530.0,28519.0,9234.0,9219.0,17422.0,11717.0,27591.0,8159.0,7386.0,19217.0
Gordon Hayward,Utah Jazz,of,9576.0,26777.0,9066.0,14259.0,11654.0,29011.0,9213.0,7771.0,15535.0,12501.0,26357.0,8539.0,7311.0,19042.0
Gorgui Dieng,Minnesota Timberwolves,def,15126.0,22657.0,18099.0,28592.0,7414.0,3997.0,2243.0,226.0,13992.0,8129.0,3170.0,2144.0,372.0,13292.0
Gorgui Dieng,Minnesota Timberwolves,of,17673.0,26401.0,19529.0,30720.0,8483.0,3353.0,2379.0,287.0,14858.0,8378.0,3610.0,2301.0,440.0,13210.0
Greg Monroe,Milwaukee Bucks,def,17320.0,27654.0,21272.0,35894.0,8585.0,2469.0,1168.0,73.0,13729.0,10817.0,2153.0,1290.0,38.0,18191.0
Greg Monroe,Milwaukee Bucks,of,16947.0,25914.0,20557.0,35061.0,7792.0,2818.0,959.0,42.0,14120.0,10629.0,2167.0,1255.0,12.0,19207.0
Harrison Barnes,Golden State Warriors,def,7192.0,14078.0,6278.0,12242.0,6794.0,8458.0,4553.0,1574.0,10454.0,7084.0,7062.0,4433.0,1531.0,12157.0
Harrison Barnes,Golden State Warriors,of,5468.0,12358.0,5534.0,11187.0,5852.0,9290.0,5238.0,2006.0,9406.0,7435.0,7754.0,5109.0,1744.0,11058.0
Hassan Whiteside,Miami Heat,def,16686.0,24013.0,25943.0,42852.0,4380.0,1449.0,689.0,75.0,13842.0,4606.0,1160.0,442.0,59.0,16896.0
Hassan Whiteside,Miami Heat,of,18057.0,25334.0,28001.0,44212.0,4701.0,1520.0,624.0,79.0,14814.0,4234.0,1228.0,519.0,95.0,15803.0
Ian Clark,Golden State Warriors,def,2233.0,8724.0,1812.0,2989.0,3017.0,7556.0,2179.0,1363.0,3043.0,2829.0,7010.0,2049.0,969.0,2875.0
Ian Clark,Golden State Warriors,of,2510.0,8917.0,1988.0,3659.0,2986.0,8440.0,1794.0,833.0,3596.0,2621.0,6689.0,1796.0,953.0,3458.0
Ian Mahinmi,Indiana Pacers,def,16791.0,24978.0,20317.0,25314.0,6739.0,1830.0,1338.0,97.0,11970.0,5441.0,1384.0,761.0,35.0,10081.0
Ian Mahinmi,Indiana Pacers,of,14605.0,21565.0,18225.0,23609.0,5829.0,1551.0,866.0,42.0,9522.0,5673.0,1627.0,911.0,31.0,10686.0
Iman Shumpert,Cleveland Cavaliers,def,1916.0,5557.0,1698.0,2705.0,2674.0,5894.0,1708.0,2697.0,3646.0,2628.0,7063.0,1921.0,3670.0,3631.0
Iman Shumpert,Cleveland Cavaliers,of,2213.0,6708.0,2407.0,3783.0,4066.0,8212.0,2740.0,3312.0,4829.0,3068.0,7818.0,2544.0,3779.0,4155.0
Isaiah Canaan,Philadelphia 76ers,def,4951.0,25038.0,5148.0,8598.0,6685.0,23169.0,4124.0,4492.0,10627.0,6815.0,20600.0,3976.0,4618.0,11440.0
Isaiah Canaan,Philadelphia 76ers,of,5178.0,28579.0,5512.0,10024.0,7738.0,26883.0,4191.0,4754.0,10575.0,7092.0,21718.0,4009.0,4804.0,10671.0
Isaiah Thomas,Boston Celtics,def,11595.0,46515.0,10001.0,10394.0,13401.0,22676.0,4381.0,1830.0,13327.0,11243.0,22645.0,4543.0,2917.0,12084.0
Isaiah Thomas,Boston Celtics,of,11401.0,45332.0,10508.0,10975.0,12998.0,22661.0,4408.0,1568.0,13971.0,11406.0,22817.0,4235.0,2411.0,12206.0
Ish Smith,New Orleans Pelicans,def,3995.0,15737.0,4191.0,6563.0,3947.0,11047.0,2102.0,1081.0,5494.0,4039.0,9379.0,2338.0,1013.0,6344.0
Ish Smith,New Orleans Pelicans,of,3744.0,16042.0,4639.0,7679.0,4189.0,12537.0,2557.0,1461.0,5746.0,4675.0,11338.0,2770.0,1577.0,6749.0
Ish Smith,Philadelphia 76ers,def,2456.0,11608.0,3002.0,3950.0,2845.0,7524.0,1506.0,435.0,3959.0,2623.0,6835.0,1219.0,671.0,3045.0
Ish Smith,Philadelphia 76ers,of,2456.0,11063.0,2507.0,3538.0,2140.0,6073.0,1030.0,426.0,2704.0,2209.0,5355.0,968.0,663.0,2725.0
J.J. Barea,Dallas Mavericks,def,5719.0,23555.0,5384.0,6097.0,5473.0,13086.0,2463.0,2300.0,7080.0,5386.0,12130.0,2377.0,2281.0,7215.0
J.J. Barea,Dallas Mavericks,of,5394.0,25424.0,5212.0,6382.0,6592.0,15301.0,2637.0,2528.0,8125.0,5326.0,13992.0,2896.0,2284.0,7568.0
JJ Redick,Los Angeles Clippers,def,6086.0,14646.0,4583.0,7325.0,8260.0,23402.0,9362.0,7479.0,10435.0,7641.0,19283.0,7355.0,6738.0,10061.0
JJ Redick,Los Angeles Clippers,of,5370.0,12467.0,4301.0,7370.0,7325.0,21451.0,8621.0,7380.0,10039.0,6199.0,16962.0,6648.0,5641.0,10675.0
JR Smith,Cleveland Cavaliers,def,4448.0,14787.0,3868.0,6152.0,7647.0,20015.0,6566.0,4441.0,8456.0,6189.0,19520.0,5737.0,5743.0,7848.0
JR Smith,Cleveland Cavaliers,of,4739.0,14681.0,4037.0,6225.0,7233.0,20725.0,5929.0,3753.0,8261.0,7130.0,19327.0,6238.0,5681.0,8546.0
JaKarr Sampson,Philadelphia 76ers,def,3569.0,9528.0,4150.0,7867.0,4322.0,11157.0,3685.0,3211.0,6652.0,4092.0,10024.0,2543.0,4265.0,6624.0
JaKarr Sampson,Philadelphia 76ers,of,3905.0,10578.0,4706.0,9896.0,5056.0,11272.0,3943.0,4010.0,6950.0,4563.0,10981.0,3198.0,4818.0,7140.0
JaMychal Green,Memphis Grizzlies,def,10485.0,16733.0,9469.0,17129.0,5774.0,2376.0,1474.0,805.0,11440.0,5233.0,1967.0,1243.0,558.0,8096.0
JaMychal Green,Memphis Grizzlies,of,10266.0,16448.0,8769.0,15765.0,5488.0,2416.0,1159.0,606.0,9380.0,4730.0,1985.0,960.0,561.0,8004.0
JaVale McGee,Dallas Mavericks,def,4354.0,5291.0,6338.0,9446.0,1087.0,544.0,175.0,0.0,3788.0,1799.0,433.0,96.0,0.0,4357.0
JaVale McGee,Dallas Mavericks,of,3282.0,5741.0,5747.0,10822.0,1014.0,515.0,143.0,24.0,4298.0,2058.0,421.0,168.0,23.0,4358.0
Jabari Parker,Milwaukee Bucks,def,10147.0,20500.0,10970.0,19178.0,7833.0,10782.0,4963.0,1643.0,12434.0,7563.0,11006.0,5409.0,1431.0,13473.0
Jabari Parker,Milwaukee Bucks,of,9382.0,18712.0,10255.0,19345.0,7669.0,10536.0,4724.0,1600.0,12342.0,6694.0,9782.0,4492.0,1411.0,12658.0
Jae Crowder,Boston Celtics,def,7665.0,24935.0,7872.0,15284.0,10373.0,23706.0,6217.0,6665.0,15973.0,10849.0,24583.0,6696.0,8855.0,17186.0
Jae Crowder,Boston Celtics,of,8885.0,27028.0,8482.0,16798.0,10148.0,23192.0,6214.0,6038.0,15853.0,11251.0,23809.0,6440.0,7964.0,17369.0
Jahlil Okafor,Philadelphia 76ers,def,17722.0,29123.0,24695.0,31832.0,5791.0,3191.0,2311.0,103.0,19843.0,6730.0,3080.0,1801.0,69.0,18926.0
Jahlil Okafor,Philadelphia 76ers,of,16368.0,27125.0,22738.0,29788.0,5776.0,3221.0,2301.0,44.0,17641.0,6926.0,2939.0,1945.0,96.0,16593.0
Jamal Crawford,Los Angeles Clippers,def,5928.0,19765.0,3902.0,6971.0,9048.0,20009.0,6305.0,5368.0,13216.0,8195.0,20168.0,4794.0,5225.0,12359.0
Jamal Crawford,Los Angeles Clippers,of,5725.0,19814.0,4086.0,7487.0,7895.0,20830.0,5343.0,5669.0,11658.0,8276.0,19626.0,5267.0,4948.0,12680.0
Jameer Nelson,Denver Nuggets,def,7917.0,30663.0,7658.0,10222.0,8640.0,17556.0,4146.0,1876.0,11044.0,7388.0,16103.0,4036.0,2309.0,9963.0
Jameer Nelson,Denver Nuggets,of,7369.0,30512.0,6738.0,9583.0,8060.0,16779.0,4498.0,2078.0,11578.0,7569.0,18395.0,4015.0,2552.0,9077.0
James Ennis III,Memphis Grizzlies,def,428.0,830.0,414.0,479.0,486.0,561.0,414.0,155.0,701.0,203.0,460.0,230.0,359.0,544.0
James Ennis III,Memphis Grizzlies,of,66.0,149.0,98.0,292.0,94.0,115.0,88.0,84.0,127.0,230.0,177.0,134.0,222.0,288.0
James Ennis III,Miami Heat,def,63.0,134.0,58.0,100.0,43.0,223.0,61.0,156.0,37.0,126.0,105.0,23.0,77.0,78.0
James Ennis III,Miami Heat,of,71.0,57.0,48.0,30.0,10.0,4.0,4.0,6.0,49.0,21.0,20.0,14.0,0.0,15.0
James Harden,Houston Rockets,def,14201.0,47999.0,13407.0,21009.0,13412.0,21918.0,5095.0,952.0,19556.0,12336.0,22897.0,4775.0,2295.0,18485.0
James Harden,Houston Rockets,of,12236.0,46546.0,12168.0,20525.0,12206.0,23292.0,4362.0,902.0,17959.0,11989.0,23194.0,4884.0,2810.0,18597.0
James Johnson,Toronto Raptors,def,4136.0,8670.0,3901.0,6820.0,4350.0,6429.0,2376.0,1380.0,5890.0,4234.0,7575.0,3414.0,3941.0,5565.0
James Johnson,Toronto Raptors,of,4660.0,9486.0,4101.0,7230.0,4681.0,6445.0,2117.0,1848.0,5778.0,4770.0,7834.0,3184.0,3094.0,6670.0
James Michael McAdoo,Golden State Warriors,def,1662.0,2984.0,1719.0,2854.0,926.0,434.0,98.0,0.0,1537.0,855.0,282.0,155.0,47.0,1568.0
James Michael McAdoo,Golden State Warriors,of,2222.0,3956.0,2817.0,4490.0,1396.0,774.0,417.0,174.0,2252.0,1391.0,689.0,549.0,175.0,2058.0
James Young,Boston Celtics,def,637.0,1595.0,772.0,1168.0,1196.0,2193.0,1082.0,1291.0,1132.0,979.0,2810.0,872.0,1592.0,1493.0
James Young,Boston Celtics,of,705.0,2371.0,847.0,1246.0,1001.0,2383.0,990.0,974.0,1204.0,1060.0,3014.0,1255.0,1627.0,1754.0
Jared Dudley,Washington Wizards,def,13033.0,32886.0,12723.0,19793.0,8793.0,9852.0,2564.0,1075.0,10241.0,8898.0,13450.0,3755.0,3102.0,10308.0
Jared Dudley,Washington Wizards,of,13375.0,30295.0,12590.0,17916.0,8112.0,8023.0,2109.0,775.0,8811.0,7990.0,13722.0,3715.0,3270.0,8805.0
Jarell Eddie,Washington Wizards,def,221.0,818.0,218.0,694.0,180.0,1143.0,227.0,528.0,456.0,386.0,934.0,433.0,528.0,708.0
Jarell Eddie,Washington Wizards,of,381.0,1207.0,344.0,934.0,572.0,1871.0,669.0,447.0,775.0,603.0,1727.0,358.0,486.0,975.0
Jarell Martin,Memphis Grizzlies,def,133.0,259.0,157.0,396.0,126.0,128.0,31.0,2.0,276.0,45.0,45.0,14.0,21.0,164.0
Jarell Martin,Memphis Grizzlies,of,101.0,198.0,179.0,210.0,24.0,19.0,24.0,0.0,330.0,45.0,34.0,18.0,24.0,133.0
Jarrett Jack,Brooklyn Nets,def,7993.0,35578.0,8730.0,7972.0,7621.0,15054.0,3408.0,2791.0,9300.0,7682.0,13590.0,2391.0,2082.0,8060.0
Jarrett Jack,Brooklyn Nets,of,7923.0,34445.0,8586.0,8801.0,7907.0,14862.0,3358.0,2997.0,8644.0,7611.0,14424.0,2535.0,1658.0,9048.0
Jason Smith,Orlando Magic,def,8749.0,13223.0,9777.0,14053.0,3964.0,2364.0,1241.0,232.0,7411.0,4323.0,1808.0,940.0,216.0,6259.0
Jason Smith,Orlando Magic,of,7877.0,10625.0,8840.0,11054.0,3266.0,2049.0,1106.0,312.0,5631.0,2956.0,1312.0,978.0,159.0,5065.0
Jason Terry,Houston Rockets,def,4315.0,15505.0,3528.0,4928.0,5068.0,13546.0,3365.0,3998.0,7244.0,4532.0,11839.0,3585.0,3356.0,6056.0
Jason Terry,Houston Rockets,of,4364.0,13287.0,3888.0,4290.0,4556.0,12219.0,2876.0,3119.0,4960.0,4978.0,10510.0,2867.0,2913.0,5286.0
Jeff Green,Memphis Grizzlies,def,8488.0,22407.0,8796.0,15089.0,9501.0,18398.0,4579.0,2965.0,13485.0,9811.0,19611.0,4604.0,3948.0,14771.0
Jeff Green,Memphis Grizzlies,of,9749.0,23837.0,9919.0,17527.0,10096.0,21876.0,5445.0,4276.0,15247.0,10643.0,20040.0,5018.0,3831.0,15604.0
Jeff Teague,Atlanta Hawks,def,9515.0,36180.0,8086.0,9200.0,9582.0,24201.0,3740.0,1490.0,9709.0,10523.0,18684.0,2641.0,790.0,11373.0
Jeff Teague,Atlanta Hawks,of,10042.0,37135.0,9740.0,10133.0,9821.0,23743.0,3799.0,1266.0,10847.0,9437.0,18638.0,3088.0,1491.0,11455.0
Jeff Withey,Utah Jazz,def,8366.0,10163.0,10005.0,15821.0,3505.0,757.0,476.0,16.0,7763.0,2960.0,840.0,488.0,5.0,7637.0
Jeff Withey,Utah Jazz,of,9031.0,11090.0,10849.0,18732.0,3206.0,999.0,589.0,21.0,9605.0,3510.0,959.0,524.0,42.0,7695.0
Jerami Grant,Philadelphia 76ers,def,10819.0,22416.0,11692.0,21158.0,6806.0,9354.0,2789.0,2789.0,15387.0,6798.0,8739.0,3073.0,3608.0,14019.0
